,GARCH11_VaR_99,GJR_GARCH_VaR_99,Copula_VaR_99,EVT_VaR_99
2008-04-11,-0.031465112037577805,-0.025876241512223067,-0.020777084902748173,-0.03135340984511445
2008-04-14,-0.03213882399078679,-0.04348416593029422,-0.020777084902748173,-0.03135340984511445
2008-04-15,-0.03212190392518065,-0.04156074835092346,-0.020777084902748173,-0.03135340984511445
2008-04-16,-0.032125832918547634,-0.039459961945529164,-0.020777084902748173,-0.03135340984511445
2008-04-17,-0.0322680882377732,-0.03821445891356799,-0.020777084902748173,-0.03135340984511445
2008-04-18,-0.03228084032513831,-0.036848825139733025,-0.020777084902748173,-0.03135340984511445
2008-04-21,-0.032326835468124634,-0.03559682136873909,-0.020777084902748173,-0.03135340984511445
2008-04-22,-0.032197759717969385,-0.034323006130875466,-0.020777084902748173,-0.03135340984511445
2008-04-23,-0.03211441600093432,-0.03392490677106368,-0.020777084902748173,-0.03135340984511445
2008-04-24,-0.03169753953381479,-0.03271466892419679,-0.020777084902748173,-0.03135340984511445
2008-04-25,-0.031215926445242407,-0.03137296051542542,-0.020777084902748173,-0.03135340984511445
2008-04-28,-0.03076362694112671,-0.02996165009355846,-0.020777084902748173,-0.03135340984511445
2008-04-29,-0.030323939614194505,-0.028698218606730046,-0.020777084902748173,-0.03135340984511445
2008-04-30,-0.02990460304725758,-0.027519537794429137,-0.020777084902748173,-0.03135340984511445
2008-05-01,-0.029501060264421345,-0.026012192491672338,-0.020777084902748173,-0.03135340984511445
2008-05-02,-0.029653002810577932,-0.025323320138358075,-0.020777084902748173,-0.03135340984511445
2008-05-05,-0.029250807154266034,-0.02414168362346695,-0.020777084902748173,-0.03135340984511445
2008-05-06,-0.028978905088209467,-0.023051746809483156,-0.020777084902748173,-0.03135340984511445
2008-05-07,-0.02886891494312998,-0.02226190246409617,-0.020777084902748173,-0.03135340984511445
2008-05-08,-0.029009912601271285,-0.025856870940461654,-0.020777084902748173,-0.03135340984511445
2008-05-09,-0.02884835200303849,-0.02499389735409676,-0.020777084902748173,-0.03135340984511445
2008-05-12,-0.028498162904008587,-0.02442078130670188,-0.020777084902748173,-0.03135340984511445
2008-05-13,-0.02810625999148435,-0.02368077093488971,-0.020777084902748173,-0.03135340984511445
2008-05-14,-0.02797005634689017,-0.023585082854104347,-0.020777084902748173,-0.03135340984511445
2008-05-15,-0.027802290282455816,-0.02285845987689855,-0.020777084902748173,-0.03135340984511445
2008-05-16,-0.02793954569514074,-0.02207488604110015,-0.020777084902748173,-0.03135340984511445
2008-05-19,-0.027793491095668112,-0.02151528666931988,-0.020777084902748173,-0.03135340984511445
2008-05-20,-0.027646418487227792,-0.021505247480611014,-0.020777084902748173,-0.03135340984511445
2008-05-21,-0.027599393957969967,-0.022755642531896034,-0.020777084902748173,-0.03135340984511445
2008-05-22,-0.027723637090661776,-0.02578900463327209,-0.020777084902748173,-0.03135340984511445
2008-05-23,-0.027585773609461,-0.02496308056337582,-0.020777084902748173,-0.03135340984511445
2008-05-27,-0.027415717786060875,-0.025581567192154812,-0.020777084902748173,-0.03135340984511445
2008-05-28,-0.022647518505592164,-0.024646803500610954,-0.020777084902748173,-0.03135340984511445
2008-05-29,-0.022135988099614774,-0.023835020635498236,-0.020777084902748173,-0.03135340984511445
2008-05-30,-0.021673067891753,-0.023251443384775024,-0.020777084902748173,-0.03135340984511445
2008-06-02,-0.021707616978362255,-0.02257954965357757,-0.020777084902748173,-0.03135340984511445
2008-06-03,-0.02183286226967149,-0.02281817221363313,-0.020777084902748173,-0.03135340984511445
2008-06-04,-0.0221534337069099,-0.02334425448610598,-0.020777084902748173,-0.03135340984511445
2008-06-05,-0.02156738026507935,-0.022804014374610573,-0.020777084902748173,-0.03135340984511445
2008-06-06,-0.023389020782016445,-0.022150055038859865,-0.020777084902748173,-0.03135340984511445
2008-06-09,-0.026007153012716687,-0.026839628728644864,-0.020777084902748173,-0.03135340984511445
2008-06-10,-0.025324860592709216,-0.02629445151698182,-0.020777084902748173,-0.03135340984511445
2008-06-11,-0.024722222282102278,-0.025778801891301124,-0.020777084902748173,-0.03135340984511445
2008-06-12,-0.025840245415929358,-0.027937831780659134,-0.020777084902748173,-0.03135340984511445
2008-06-13,-0.024935856238917562,-0.026890907045451877,-0.020777084902748173,-0.03135340984511445
2008-06-16,-0.024835277032629652,-0.025927481664769634,-0.020777084902748173,-0.03135340984511445
2008-06-17,-0.02407022420796181,-0.025081782622663674,-0.020777084902748173,-0.03135340984511445
2008-06-18,-0.023433644681494527,-0.024328535460731243,-0.020777084902748173,-0.03135340984511445
2008-06-19,-0.023295404986804713,-0.024281425349374088,-0.020777084902748173,-0.03135340984511445
2008-06-20,-0.022502496401755143,-0.024264980771732905,-0.020777084902748173,-0.03135340984511445
2008-06-23,-0.023290695504316297,-0.025852346888071,-0.020777084902748173,-0.03135340984511445
2008-06-24,-0.02293226845734128,-0.025471627096318113,-0.020777084902748173,-0.03135340984511445
2008-06-25,-0.02244688447752876,-0.024779596108571736,-0.020777084902748173,-0.03135340984511445
2008-06-26,-0.02225558606744514,-0.024525156295048162,-0.020777084902748173,-0.03135340984511445
2008-06-27,-0.02599372182075108,-0.030360179264034552,-0.020777084902748173,-0.03135340984511445
2008-06-30,-0.025140234442753488,-0.02868067387297511,-0.020777084902748173,-0.03135340984511445
2008-07-01,-0.02462243275165591,-0.027486424596150888,-0.020777084902748173,-0.03135340984511445
2008-07-02,-0.02419528936052508,-0.02640885967811529,-0.020777084902748173,-0.03135340984511445
2008-07-03,-0.025314669211137213,-0.028015783778690757,-0.020777084902748173,-0.03135340984511445
2008-07-07,-0.030931280393011108,-0.035042902194778125,-0.020777084902748173,-0.03135340984511445
