,Historical_ES,Parametric_T_ES,GJR_ES,EVT_ES_Static,Hybrid_HMM_ES
2008-04-11,-0.02702983996474176,-0.028725410074029654,-0.024504430160289345,-0.03325606440293696,-0.0262534927198073
2008-04-14,-0.02702983996474176,-0.02862865506564653,-0.04059773299250661,-0.03325606440293696,-0.03912981870178204
2008-04-15,-0.02702983996474176,-0.028654004977382557,-0.039034993487511695,-0.03325606440293696,-0.03787932681726864
2008-04-16,-0.02702983996474176,-0.028668860020494142,-0.03731719484244009,-0.03325606440293696,-0.03650501655183237
2008-04-17,-0.02702983996474176,-0.028688530508684237,-0.03611839228751426,-0.03325606440293696,-0.03554594310124086
2008-04-18,-0.02702983996474176,-0.028489290325183856,-0.03494063464524524,-0.03325606440293696,-0.03460372478277355
2008-04-21,-0.02702983996474176,-0.0284791788450213,-0.03378953789891823,-0.03325606440293696,-0.03368284358232567
2008-04-22,-0.02702983996474176,-0.028366009776439428,-0.03267505104961853,-0.03325606440293696,-0.03279125298087195
2008-04-23,-0.02702983996474176,-0.02828175091917775,-0.03235242852574772,-0.03325606440293696,-0.03253315669638415
2008-04-24,-0.02702983996474176,-0.028404318721326188,-0.031258219342354336,-0.03325606440293696,-0.03165779061154312
2008-04-25,-0.02702983996474176,-0.028446027241999006,-0.030102391475242532,-0.03325606440293696,-0.030733128473308356
2008-04-28,-0.02702983996474176,-0.028470006050840588,-0.028881716284254445,-0.03325606440293696,-0.02975658864874376
2008-04-29,-0.02702983996474176,-0.02850629055469981,-0.027825360794349968,-0.03325606440293696,-0.02891150605581779
2008-04-30,-0.02702983996474176,-0.02852346694708137,-0.026723434238860366,-0.03325606440293696,-0.028029979396400926
2008-05-01,-0.02702983996474176,-0.028353282335348135,-0.025484917225213184,-0.03325606440293696,-0.027039203562851805
2008-05-02,-0.02702983996474176,-0.028368517405391272,-0.024900741932760876,-0.03325606440293696,-0.026571965061280366
2008-05-05,-0.02702983996474176,-0.02836570168330214,-0.023913615306429912,-0.03325606440293696,-0.02578231609416717
2008-05-06,-0.02702983996474176,-0.028287073829319775,-0.022998865427244154,-0.03325606440293696,-0.025050674426601017
2008-05-07,-0.02702983996474176,-0.028137115617723148,-0.022310609729989554,-0.03325606440293696,-0.024500218586458646
2008-05-08,-0.02702983996474176,-0.028120056272614602,-0.026063590031115448,-0.03325606440293696,-0.027525324010732984
2008-05-09,-0.02702983996474176,-0.028243350354439516,-0.025268039007456514,-0.03325606440293696,-0.026954349559446675
2008-05-12,-0.02702983996474176,-0.02839223685683328,-0.024527629652603394,-0.03325606440293696,-0.02657457831706289
2008-05-13,-0.02702983996474176,-0.028350901108973595,-0.023814945153355468,-0.03325606440293696,-0.02656600789089413
2008-05-14,-0.02702983996474176,-0.02836345296293706,-0.023851745008764597,-0.03325606440293696,-0.02689692836009528
2008-05-15,-0.02702983996474176,-0.028236903884059854,-0.023177247942843565,-0.03325606440293696,-0.026515789321947564
2008-05-16,-0.02702983996474176,-0.028233629911870353,-0.022649032512887694,-0.03325606440293696,-0.026279371471523826
2008-05-19,-0.02702983996474176,-0.028244125249602323,-0.022097538784081792,-0.03325606440293696,-0.025935725425729996
2008-05-20,-0.02702983996474176,-0.028168213164112756,-0.022163578162929232,-0.03325606440293696,-0.025983752496501266
2008-05-21,-0.02702983996474176,-0.028047934139192193,-0.023665944330516237,-0.03325606440293696,-0.026971317861338003
2008-05-22,-0.02702983996474176,-0.028061091939678134,-0.027153381204040768,-0.03325606440293696,-0.029275443546664177
2008-05-23,-0.02702983996474176,-0.028105431087024655,-0.026251560670073754,-0.03325606440293696,-0.02869182245265943
2008-05-27,-0.02702983996474176,-0.028143409948730286,-0.026760541351556217,-0.03325606440293696,-0.02902689022753998
2008-05-28,-0.02702983996474176,-0.028141123943679416,-0.025851688349521063,-0.03325606440293696,-0.02843529861164023
2008-05-29,-0.02702983996474176,-0.028245306150923882,-0.02506350054631627,-0.03325606440293696,-0.02791875633539714
2008-05-30,-0.02702983996474176,-0.028164568142908124,-0.0244887044052132,-0.03325606440293696,-0.02753214317914533
2008-06-02,-0.02702983996474176,-0.02810552185121677,-0.023857840635100325,-0.03325606440293696,-0.02706792865213748
2008-06-03,-0.02702983996474176,-0.028077777948088165,-0.024176278036176117,-0.03325606440293696,-0.02721167001936695
2008-06-04,-0.02702983996474176,-0.02807757589119362,-0.024812172199921614,-0.03325606440293696,-0.027546033892467136
2008-06-05,-0.02702983996474176,-0.027939594660484943,-0.024168332737121517,-0.03325606440293696,-0.0266254770762393
2008-06-06,-0.02702983996474176,-0.028007454760592326,-0.02362767237472127,-0.03325606440293696,-0.025659762660316648
2008-06-09,-0.02702983996474176,-0.02802991974861809,-0.028948492187914607,-0.03325606440293696,-0.029855790861225275
2008-06-10,-0.02702983996474176,-0.02800253162554076,-0.02837396685772795,-0.03325606440293696,-0.029400056988355454
2008-06-11,-0.02702983996474176,-0.027981206280311945,-0.027808516068617912,-0.03325606440293696,-0.028950181948676386
2008-06-12,-0.02702983996474176,-0.028098561194802977,-0.030193158643768328,-0.03325606440293696,-0.0308441138090882
2008-06-13,-0.02702983996474176,-0.028035846411236943,-0.02904770029304796,-0.03325606440293696,-0.029951020779268523
2008-06-16,-0.02702983996474176,-0.028136581210761694,-0.028037750781673924,-0.03325606440293696,-0.02916496607211437
2008-06-17,-0.02702983996474176,-0.02815431430918903,-0.027124832530138074,-0.03325606440293696,-0.02845367346735755
2008-06-18,-0.02702983996474176,-0.028152754783679138,-0.026365418098082,-0.03325606440293696,-0.02785754863575458
2008-06-19,-0.02702983996474176,-0.02823642590140819,-0.02640279014084235,-0.03325606440293696,-0.027884877328054947
2008-06-20,-0.02702983996474176,-0.028298594043538097,-0.02577628410400662,-0.03325606440293696,-0.027380101700771067
2008-06-23,-0.02702983996474176,-0.028320600900694864,-0.027449392423353317,-0.03325606440293696,-0.028694933274446284
2008-06-24,-0.02702983996474176,-0.02832964000670875,-0.027025356770063343,-0.03325606440293696,-0.0283585122546068
2008-06-25,-0.02702983996474176,-0.028336264780612703,-0.02630100179528732,-0.03325606440293696,-0.027767844871862703
2008-06-26,-0.02702983996474176,-0.028580079034769782,-0.025745998261446995,-0.03325606440293696,-0.027248406711019732
2008-06-27,-0.02702983996474176,-0.028580088468170825,-0.03235318904262594,-0.03325606440293696,-0.032533870547932775
2008-06-30,-0.02702983996474176,-0.02856118106828965,-0.03081557388323548,-0.03325606440293696,-0.03130396814990132
2008-07-01,-0.02702983996474176,-0.0286268626274412,-0.029768401206542613,-0.03325606440293696,-0.030466309613711027
2008-07-02,-0.02702983996474176,-0.02860619139004052,-0.028698995741444355,-0.03325606440293696,-0.02961040253211998
2008-07-03,-0.027762398532715542,-0.029042571138792942,-0.030665531301206604,-0.03325606440293696,-0.031183610135354502
2008-07-07,-0.027762398532715542,-0.029029845301090196,-0.03871908165151046,-0.03325606440293696,-0.03762647515356667
2008-07-08,-0.027762398532715542,-0.02891128959700484,-0.03652415455251978,-0.03325606440293696,-0.035870511984070055
2008-07-09,-0.027762398532715542,-0.028860774546814745,-0.034658667142278214,-0.03325606440293696,-0.03437814963312503
2008-07-10,-0.027762398532715542,-0.02875816058720302,-0.03639045617963207,-0.03325606440293696,-0.03576356150523757
2008-07-11,-0.027762398532715542,-0.02884073640952273,-0.034610265283685646,-0.03325606440293696,-0.034339425849795636
2008-07-14,-0.027762398532715542,-0.02884684732545387,-0.03399160075690285,-0.03325606440293696,-0.033844493620653844
2008-07-15,-0.027762398532715542,-0.028838648960579225,-0.03311059675599859,-0.03325606440293696,-0.03313969032172648
2008-07-16,-0.027762398532715542,-0.028806887990329835,-0.03213329407594601,-0.03325606440293696,-0.03235784710116034
2008-07-17,-0.027762398532715542,-0.028674186954305476,-0.0312909949136463,-0.03325606440293696,-0.03168400996354423
2008-07-18,-0.027762398532715542,-0.028692892825867965,-0.03031845135862566,-0.03325606440293696,-0.030905971021415832
2008-07-21,-0.027762398532715542,-0.028686235346582187,-0.029893451986233006,-0.03325606440293696,-0.030565976186889318
2008-07-22,-0.027762398532715542,-0.028696610610050854,-0.02890961005521011,-0.03325606440293696,-0.02977890350588056
2008-07-23,-0.027762398532715542,-0.028621771914515762,-0.02797878338012961,-0.03325606440293696,-0.02903424269886432
2008-07-24,-0.027762398532715542,-0.02868754667506726,-0.027014146830189083,-0.03325606440293696,-0.028262494550423064
2008-07-25,-0.027762398532715542,-0.02861490110367193,-0.031402016829108724,-0.03325606440293696,-0.03177282337976483
2008-07-28,-0.027762398532715542,-0.028612797926693485,-0.03037688640412094,-0.03325606440293696,-0.030952711591252464
2008-07-29,-0.027762398532715542,-0.028558094308598847,-0.031824407555151216,-0.03325606440293696,-0.032110737098048105
2008-07-30,-0.027762398532715542,-0.028504848931424992,-0.03086901301960327,-0.03325606440293696,-0.03134642120029708
2008-07-31,-0.027762398532715542,-0.02850356791042935,-0.029872991577236288,-0.03325606440293696,-0.030549597996634807
